"taxon";"mesocosm";"concentration";"date"
"Zygophycees";"15";1121;"24/09/15"
"Chrysophycees";"15";2;"24/09/15"
"Xanthophycees";"15";34;"24/09/15"
"Diatomophycees";"15";0;"24/09/15"
"Cryptophycees";"15";0;"24/09/15"
"Dinophycees";"15";8;"24/09/15"
"Cyanobacteries";"15";63;"24/09/15"
"Indetermines";"15";0;"24/09/15"
"Chlorophycees";"16";443;"24/09/15"
"Zygophycees";"16";639;"24/09/15"
"Chrysophycees";"16";2;"24/09/15"
"Xanthophycees";"16";8;"24/09/15"
"Diatomophycees";"16";62;"24/09/15"
"Cryptophycees";"16";0;"24/09/15"
"Dinophycees";"16";164;"24/09/15"
"Cyanobacteries";"16";50;"24/09/15"
"Indetermines";"16";0;"24/09/15"
"Chlorophycees";"17";700;"24/09/15"
"Zygophycees";"17";1694;"24/09/15"
"Chrysophycees";"17";4;"24/09/15"
"Xanthophycees";"17";8;"24/09/15"
"Diatomophycees";"17";117;"24/09/15"
"Cryptophycees";"17";0;"24/09/15"
"Dinophycees";"17";168;"24/09/15"
"Cyanobacteries";"17";713;"24/09/15"
"Indetermines";"17";0;"24/09/15"
"Chlorophycees";"18";1685;"24/09/15"
"Zygophycees";"18";1874;"24/09/15"
"Chrysophycees";"18";0;"24/09/15"
"Xanthophycees";"18";21;"24/09/15"
"Diatomophycees";"18";0;"24/09/15"
"Cryptophycees";"18";0;"24/09/15"
"Dinophycees";"18";4;"24/09/15"
"Cyanobacteries";"18";377;"24/09/15"
"Indetermines";"18";0;"24/09/15"
"Chlorophycees";"19";2234;"24/09/15"
"Zygophycees";"19";818;"24/09/15"
"Chrysophycees";"19";0;"24/09/15"
"Xanthophycees";"19";2;"24/09/15"
"Diatomophycees";"19";0;"24/09/15"
"Cryptophycees";"19";0;"24/09/15"
"Dinophycees";"19";2;"24/09/15"
"Cyanobacteries";"19";134;"24/09/15"
"Indetermines";"19";0;"24/09/15"
"Chlorophycees";"20";1187;"24/09/15"
"Zygophycees";"20";558;"24/09/15"
"Chrysophycees";"20";4;"24/09/15"
"Xanthophycees";"20";2;"24/09/15"
"Diatomophycees";"20";13;"24/09/15"
"Cryptophycees";"20";0;"24/09/15"
"Dinophycees";"20";109;"24/09/15"
"Cyanobacteries";"20";113;"24/09/15"
"Indetermines";"20";0;"24/09/15"
"Chlorophycees";"21";828;"24/09/15"
"Zygophycees";"21";1580;"24/09/15"
"Chrysophycees";"21";4;"24/09/15"
"Xanthophycees";"21";8;"24/09/15"
"Diatomophycees";"21";0;"24/09/15"
"Cryptophycees";"21";0;"24/09/15"
"Dinophycees";"21";13;"24/09/15"
"Cyanobacteries";"21";84;"24/09/15"
"Indetermines";"21";0;"24/09/15"
"Chlorophycees";"22";400;"24/09/15"
"Zygophycees";"22";1220;"24/09/15"
"Chrysophycees";"22";13;"24/09/15"
"Xanthophycees";"22";59;"24/09/15"
"Diatomophycees";"22";63;"24/09/15"
"Cryptophycees";"22";0;"24/09/15"
"Dinophycees";"22";696;"24/09/15"
"Cyanobacteries";"22";398;"24/09/15"
"Indetermines";"22";0;"24/09/15"
"Chlorophycees";"23";2297;"24/09/15"
"Zygophycees";"23";109;"24/09/15"
"Chrysophycees";"23";3;"24/09/15"
"Xanthophycees";"23";7;"24/09/15"
"Diatomophycees";"23";82;"24/09/15"
"Cryptophycees";"23";0;"24/09/15"
"Dinophycees";"23";50;"24/09/15"
"Cyanobacteries";"23";47;"24/09/15"
"Indetermines";"23";0;"24/09/15"
"Chlorophycees";"24";630;"24/09/15"
"Zygophycees";"24";2788;"24/09/15"
"Chrysophycees";"24";4;"24/09/15"
"Xanthophycees";"24";8;"24/09/15"
"Diatomophycees";"24";4;"24/09/15"
"Cryptophycees";"24";0;"24/09/15"
"Dinophycees";"24";25;"24/09/15"
"Cyanobacteries";"24";1174;"24/09/15"
"Indetermines";"24";0;"24/09/15"
"Chlorophycees";"25";778;"24/09/15"
"Zygophycees";"25";1140;"24/09/15"
"Chrysophycees";"25";2;"24/09/15"
"Xanthophycees";"25";19;"24/09/15"
"Diatomophycees";"25";36;"24/09/15"
"Cryptophycees";"25";0;"24/09/15"
"Dinophycees";"25";2;"24/09/15"
"Cyanobacteries";"25";210;"24/09/15"
"Indetermines";"25";0;"24/09/15"
"Chlorophycees";"26";1181;"24/09/15"
"Zygophycees";"26";80;"24/09/15"
"Chrysophycees";"26";5;"24/09/15"
"Xanthophycees";"26";1;"24/09/15"
"Diatomophycees";"26";34;"24/09/15"
"Cryptophycees";"26";8;"24/09/15"
"Dinophycees";"26";25;"24/09/15"
"Cyanobacteries";"26";75;"24/09/15"
"Indetermines";"26";0;"24/09/15"
"Chlorophycees";"27";2809;"24/09/15"
"Zygophycees";"27";1761;"24/09/15"
"Chrysophycees";"27";8;"24/09/15"
"Xanthophycees";"27";13;"24/09/15"
"Diatomophycees";"27";4;"24/09/15"
"Cryptophycees";"27";0;"24/09/15"
"Dinophycees";"27";8;"24/09/15"
"Cyanobacteries";"27";84;"24/09/15"
"Indetermines";"27";0;"24/09/15"
"Chlorophycees";"28";811;"24/09/15"
"Zygophycees";"28";916;"24/09/15"
"Chrysophycees";"28";0;"24/09/15"
"Xanthophycees";"28";4;"24/09/15"
"Diatomophycees";"28";65;"24/09/15"
"Cryptophycees";"28";0;"24/09/15"
"Dinophycees";"28";488;"24/09/15"
"Cyanobacteries";"28";635;"24/09/15"
"Indetermines";"28";0;"24/09/15"
"Chlorophycees";"29";977;"24/09/15"
"Zygophycees";"29";1167;"24/09/15"
"Chrysophycees";"29";0;"24/09/15"
"Xanthophycees";"29";10;"24/09/15"
"Diatomophycees";"29";8;"24/09/15"
"Cryptophycees";"29";0;"24/09/15"
"Dinophycees";"29";222;"24/09/15"
"Cyanobacteries";"29";84;"24/09/15"
"Indetermines";"29";8;"24/09/15"
"Chlorophycees";"30";386;"24/09/15"
"Zygophycees";"30";1572;"24/09/15"
"Chrysophycees";"30";0;"24/09/15"
"Xanthophycees";"30";13;"24/09/15"
"Diatomophycees";"30";8;"24/09/15"
"Cryptophycees";"30";0;"24/09/15"
"Dinophycees";"30";4;"24/09/15"
"Cyanobacteries";"30";419;"24/09/15"
"Indetermines";"30";0;"24/09/15"
"Chlorophycees";"31";2272;"24/09/15"
"Zygophycees";"31";2469;"24/09/15"
"Chrysophycees";"31";0;"24/09/15"
"Xanthophycees";"31";59;"24/09/15"
"Diatomophycees";"31";21;"24/09/15"
"Cryptophycees";"31";4;"24/09/15"
"Dinophycees";"31";1597;"24/09/15"
"Cyanobacteries";"31";449;"24/09/15"
"Indetermines";"31";0;"24/09/15"
"Chlorophycees";"32";1781;"24/09/15"
"Zygophycees";"32";714;"24/09/15"
"Chrysophycees";"32";0;"24/09/15"
"Xanthophycees";"32";10;"24/09/15"
"Diatomophycees";"32";3;"24/09/15"
"Cryptophycees";"32";0;"24/09/15"
"Dinophycees";"32";27;"24/09/15"
"Cyanobacteries";"32";34;"24/09/15"
"Indetermines";"32";0;"24/09/15"
"Chlorophycees";"33";304;"24/09/15"
"Zygophycees";"33";983;"24/09/15"
"Chrysophycees";"33";0;"24/09/15"
"Xanthophycees";"33";2;"24/09/15"
"Diatomophycees";"33";36;"24/09/15"
"Cryptophycees";"33";0;"24/09/15"
"Dinophycees";"33";249;"24/09/15"
"Cyanobacteries";"33";113;"24/09/15"
"Indetermines";"33";0;"24/09/15"
"Chlorophycees";"34";537;"24/09/15"
"Zygophycees";"34";1719;"24/09/15"
"Chrysophycees";"34";8;"24/09/15"
"Xanthophycees";"34";13;"24/09/15"
"Diatomophycees";"34";4;"24/09/15"
"Cryptophycees";"34";0;"24/09/15"
"Dinophycees";"34";21;"24/09/15"
"Cyanobacteries";"34";377;"24/09/15"
"Indetermines";"34";0;"24/09/15"
"Chlorophycees";"35";1534;"24/09/15"
"Zygophycees";"35";1643;"24/09/15"
"Chrysophycees";"35";0;"24/09/15"
"Xanthophycees";"35";38;"24/09/15"
"Diatomophycees";"35";0;"24/09/15"
"Cryptophycees";"35";0;"24/09/15"
"Dinophycees";"35";17;"24/09/15"
"Cyanobacteries";"35";92;"24/09/15"
"Indetermines";"35";0;"24/09/15"
"Chlorophycees";"36";474;"24/09/15"
"Zygophycees";"36";1865;"24/09/15"
"Chrysophycees";"36";8;"24/09/15"
"Xanthophycees";"36";0;"24/09/15"
"Diatomophycees";"36";8;"24/09/15"
"Cryptophycees";"36";0;"24/09/15"
"Dinophycees";"36";461;"24/09/15"
"Cyanobacteries";"36";1991;"24/09/15"
"Indetermines";"36";0;"24/09/15"
