"date";"mesocosm";"taxon_cyto";"cyto"
"2015_08_07";"28";"heterotroph";148.47
"2015_08_07";"9";"heterotroph";116.2573125
"2015_08_07";"7";"heterotroph";79.64355
"2015_08_07";"1";"heterotroph";67.872
"2015_08_07";"19";"heterotroph";68.137125
"2015_08_07";"31";"heterotroph";71.58375
"2015_08_07";"36";"heterotroph";104.45925
"2015_08_07";"29";"heterotroph";61.774125
"2015_08_07";"32";"heterotroph";54.0855
"2015_08_07";"11";"heterotroph";38.92035
"2015_08_07";"2";"heterotroph";75.5076
"2015_08_07";"20";"heterotroph";25.823175
"2015_08_07";"27";"heterotroph";91.6006875
"2015_08_07";"16";"heterotroph";34.1481
"2015_08_07";"26";"heterotroph";34.89045
"2015_08_07";"12";"heterotroph";83.6469375
"2015_08_07";"8";"heterotroph";35.049525
"2015_08_07";"14";"heterotroph";28.580475
"2015_08_07";"17";"heterotroph";24.444525
"2015_08_07";"21";"heterotroph";69.46275
"2015_08_07";"18";"heterotroph";56.56
"2015_08_07";"13";"heterotroph";29.694
"2015_08_07";"30";"heterotroph";46.5294375
"2015_08_07";"5";"heterotroph";58.9903125
"2015_08_07";"15";"heterotroph";24.70965
"2015_08_07";"25";"heterotroph";31.6824375
"2015_08_07";"10";"heterotroph";91.468125
"2015_08_07";"24";"heterotroph";48.67695
"2015_08_07";"6";"heterotroph";29.16375
"2015_08_07";"4";"heterotroph";121.9575
"2015_08_07";"33";"heterotroph";11.9483
"2015_08_07";"22";"heterotroph";58.3275
"2015_08_07";"23";"heterotroph";22.959825
"2015_08_07";"34";"heterotroph";71.0535
"2015_08_07";"35";"heterotroph";39.98085
"2015_08_07";"3";"heterotroph";67.97805
"2015_09_01";"32";"heterotroph";35.155575
"2015_09_01";"27";"heterotroph";83.5674
"2015_09_01";"33";"heterotroph";68.40225
"2015_09_01";"1";"heterotroph";34.46625
"2015_09_01";"4";"heterotroph";31.815
"2015_09_01";"34";"heterotroph";56.10045
"2015_09_01";"9";"heterotroph";36.2691
"2015_09_01";"20";"heterotroph";21.475125
"2015_09_01";"3";"heterotroph";10.6757
"2015_09_01";"24";"heterotroph";45.07125
"2015_09_01";"28";"heterotroph";71.2656
"2015_09_01";"15";"heterotroph";27.67905
"2015_09_01";"5";"heterotroph";22.641675
"2015_09_01";"19";"heterotroph";61.509
"2015_09_01";"18";"heterotroph";38.28405
"2015_09_01";"10";"heterotroph";37.1175
"2015_09_01";"25";"heterotroph";57.79725
"2015_09_01";"35";"heterotroph";35.4207
"2015_09_01";"7";"heterotroph";43.3391
"2015_09_01";"12";"heterotroph";20.5737
"2015_09_01";"13";"heterotroph";71.37165
"2015_09_01";"17";"heterotroph";15.80145
"2015_09_01";"14";"heterotroph";6.7872
"2015_09_01";"21";"heterotroph";31.49685
"2015_09_01";"6";"heterotroph";50.4798
"2015_09_01";"11";"heterotroph";20.89185
"2015_09_01";"22";"heterotroph";24.1794
"2015_09_01";"29";"heterotroph";51.9645
"2015_09_01";"31";"heterotroph";27.732075
"2015_09_01";"30";"heterotroph";51.22215
"2015_09_01";"23";"heterotroph";29.694
"2015_09_01";"26";"heterotroph";31.28475
"2015_09_01";"36";"heterotroph";46.98015
"2015_09_01";"8";"heterotroph";22.0584
"2015_09_01";"2";"heterotroph";23.7552
"2015_09_01";"16";"heterotroph";9.597525
"2015_09_24";"4";"heterotroph";15.4833
"2015_09_24";"19";"heterotroph";27.67905
"2015_09_24";"13";"heterotroph";7.17605
"2015_09_24";"31";"heterotroph";10.3929
"2015_09_24";"23";"heterotroph";245.3997
"2015_09_24";"22";"heterotroph";8.2984125
"2015_09_24";"12";"heterotroph";41.9958
"2015_09_24";"28";"heterotroph";7.88305
"2015_09_24";"3";"heterotroph";31.6736
"2015_09_24";"10";"heterotroph";4.242
"2015_09_24";"30";"heterotroph";44.275875
"2015_09_24";"20";"heterotroph";20.308575
"2015_09_24";"2";"heterotroph";24.21475
"2015_09_24";"1";"heterotroph";27.9972
"2015_09_24";"11";"heterotroph";13.3623
"2015_09_24";"32";"heterotroph";28.050225
"2015_09_24";"21";"heterotroph";44.381925
"2015_09_24";"29";"heterotroph";47.139225
"2015_09_24";"26";"heterotroph";14.81165
"2015_09_24";"8";"heterotroph";6.8579
"2015_09_24";"25";"heterotroph";13.8572
"2015_09_24";"7";"heterotroph";3.92385
"2015_09_24";"34";"heterotroph";12.1806
"2015_09_24";"27";"heterotroph";20.25555
"2015_09_24";"6";"heterotroph";21.8463
"2015_09_24";"24";"heterotroph";9.05667
"2015_09_24";"33";"heterotroph";15.748425
"2015_09_24";"5";"heterotroph";33.2997
"2015_09_24";"14";"heterotroph";10.658025
"2015_09_24";"15";"heterotroph";46.55595
"2015_09_24";"17";"heterotroph";20.5737
"2015_09_24";"16";"heterotroph";3.71175
"2015_09_24";"9";"heterotroph";18.7355
"2015_09_24";"36";"heterotroph";22.959825
"2015_09_24";"18";"heterotroph";45.3894
"2015_09_24";"35";"heterotroph";47.139225
"2015_10_21";"27";"heterotroph";25.98225
"2015_10_21";"22";"heterotroph";13.60975
"2015_10_21";"11";"heterotroph";34.67835
"2015_10_21";"13";"heterotroph";37.22355
"2015_10_21";"12";"heterotroph";34.3602
"2015_10_21";"18";"heterotroph";33.936
"2015_10_21";"34";"heterotroph";26.459475
"2015_10_21";"28";"heterotroph";12.0101625
"2015_10_21";"15";"heterotroph";66.28125
"2015_10_21";"23";"heterotroph";4.70155
"2015_10_21";"1";"heterotroph";21.95235
"2015_10_21";"26";"heterotroph";4.7987625
"2015_10_21";"14";"heterotroph";11.824575
"2015_10_21";"3";"heterotroph";1.771035
"2015_10_21";"24";"heterotroph";18.081525
"2015_10_21";"25";"heterotroph";20.944875
"2015_10_21";"29";"heterotroph";23.808225
"2015_10_21";"19";"heterotroph";39.13245
"2015_10_21";"2";"heterotroph";18.0285
"2015_10_21";"6";"heterotroph";4.242
"2015_10_21";"35";"heterotroph";74.12895
"2015_10_21";"20";"heterotroph";13.839525
"2015_10_21";"17";"heterotroph";4.7987625
"2015_10_21";"8";"heterotroph";5.04798
"2015_10_21";"33";"heterotroph";2.65125
"2015_10_21";"30";"heterotroph";80.91615
"2015_10_21";"5";"heterotroph";10.445925
"2015_10_21";"9";"heterotroph";7.5560625
"2015_10_21";"32";"heterotroph";21.263025
"2015_10_21";"31";"heterotroph";2.110395
"2015_10_21";"10";"heterotroph";10.7905875
"2015_10_21";"4";"heterotroph";8.7226125
"2015_10_21";"21";"heterotroph";72.2655
"2015_10_21";"36";"heterotroph";5.19645
"2015_10_21";"7";"heterotroph";9.1468125
"2015_10_21";"16";"heterotroph";4.3127
