family_old;species;family_1;family_2;mixotrophic;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
chlorophycées;Chlamydomonas ;Chlorophyceae;Chlorophyta;no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.838407157734889;0;6.28805368301167;0;0;0;0;0;0;0;0
chlorophycées;Crucigeniella ;Trebouxiophyceae;Chlorophyta;no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.7681431546978;0
chlorophycées;Dictyosphaerium ;Trebouxiophyceae;Chlorophyta;no;0;0;0;0;0;0;0;0;0;0;0;16.7681431546978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chlorophycées;Dictyosphaerium subsolitarium;Trebouxiophyceae;Chlorophyta;no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.5362863093955;0;0;16.7681431546978;0;50.3044294640933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chlorophycées;Kirchneriella ;Chlorophyceae;Chlorophyta;no;0;0;1.67681431546978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.19203578867444;0;0;0;0;0;0;0;0;0;0;0
chlorophycées;cf. Neochloris;Chlorophyceae;Chlorophyta;no;67.0725726187911;67.0725726187911;11.7377002082884;29.3442505207211;36.8899149403351;46.1123936754189;25.1522147320467;8.38407157734889;205.409753645048;18.864161049035;37.72832209807;410.819507290096;8.38407157734889;12.5761073660233;12.5761073660233;8.38407157734889;4.19203578867444;356.323042037328;159.297359969629;15.1231670857243;35.2873898666899;12.5761073660233;15.091328839228;12.5761073660233;96.4168231395122;16.7681431546978;83.8407157734889;18.864161049035;46.1123936754189;29.3442505207211;33.5362863093955;16.7681431546978;10.4800894716861;108.992930505536;347.938970459979;12.5761073660233
chlorophycées;Oocystis ;Trebouxiophyceae;Chlorophyta;no;121.569037871559;18.4449574701676;11.7377002082884;29.3442505207211;16.7681431546978;12.5761073660233;29.3442505207211;10.0608858928187;8.38407157734889;18.864161049035;8.38407157734889;75.45664419614;5.03044294640933;41.9203578867444;4.19203578867444;3.35362863093956;8.38407157734889;16.7681431546978;30.182657678456;4.19203578867444;25.1522147320467;8.38407157734889;3.35362863093956;8.38407157734889;14.6721252603606;5.03044294640933;20.9601789433722;27.2482326263839;2.09601789433722;4.19203578867444;75.45664419614;5.03044294640933;2.09601789433722;16.7681431546978;29.3442505207211;4.19203578867444
chlorophycées;Oocystis cf. marssonii;Trebouxiophyceae;Chlorophyta;no;0;0;0;0;5.03044294640933;0;4.19203578867444;8.38407157734889;0;4.19203578867444;4.19203578867444;4.19203578867444;3.35362863093956;8.38407157734889;2.09601789433722;0;4.19203578867444;0;8.38407157734889;0;12.5761073660233;0;5.03044294640933;0;6.28805368301167;4.19203578867444;0;0;6.28805368301167;4.19203578867444;4.19203578867444;1.67681431546978;0;0;16.7681431546978;4.19203578867444
chlorophycées;Oocystis cf. parva;Trebouxiophyceae;Chlorophyta;no;415.01154307877;33.5362863093955;20.1217717856373;129.953109448908;35.2131006248653;79.6486799848144;83.8407157734889;16.7681431546978;25.1522147320467;148.817270497943;33.5362863093955;448.547829388165;10.0608858928187;171.873467335652;25.1522147320467;23.4754004165769;25.1522147320467;377.2832209807;539.934209581268;27.2482326263839;289.250469418537;58.6885010414422;20.1217717856373;29.3442505207211;77.5526620904772;16.7681431546978;213.793825222397;100.608858928187;27.2482326263839;29.3442505207211;205.409753645048;13.4145145237582;18.864161049035;41.9203578867444;104.800894716861;67.0725726187911
chlorophycées;Pediastrum boryanum;Chlorophyceae;Chlorophyta;no;0;0;0;67.0725726187911;0;0;0;26.8290290475164;33.5362863093955;0;0;100.608858928187;0;0;0;13.4145145237582;0;0;147.55965976134;0;0;33.5362863093955;6.70725726187911;0;33.5362863093955;0;33.5362863093955;0;0;33.5362863093955;33.5362863093955;13.4145145237582;0;0;0;0
chlorophycées;Pediastrum tetras;Chlorophyceae;Chlorophyta;no;0;0;0;0;0;0;0;0;33.5362863093955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chlorophycées;Scenedesmus (2 cells);Chlorophyceae;Chlorophyta;yes;16.7681431546978;10.0608858928187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.38407157734889;0
chlorophycées;Scenedesmus ecornis var. concavus;Chlorophyceae;Chlorophyta;yes;750.374406172725;1024.53354675203;271.643919106104;662.341654610562;2749.97547737043;318.594719939258;1538.47713444352;568.440052944255;918.055837719703;1003.99257138753;1538.47713444352;1425.29216814931;226.36993258842;6589.88025979623;226.36993258842;368.899149403351;624.613332512492;871.943444044284;1301.20790880455;1058.4890366403;402.435435712747;192.833646279024;2196.62675326541;448.547829388165;463.219954648526;1108.37426252552;2322.38782692564;628.805368301167;823.735032474528;255.714183109141;1869.6479617488;1686.8752013626;238.946039954443;339.55489888263;821.639014580191;276.674362052513
chlorophycées;Scenedesmus gr. Abundantes/ Spinosi;Chlorophyceae;Chlorophyta;yes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.38407157734889;16.7681431546978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
